DDCTransactionId8193F6DE46E4E2E7B34A0A9965EEACE1_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_DF45889644371608E2E167A00D0E9612_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.15-16.55.23, Duration=24.404451, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF8A3549A44B1C71ABC889B8229B7E756_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_DF45889644371608E2E167A00D0E9612___443B7C5B121406914003AD4942611D4E7AB0E6B6, StartTime=2016.05.15-16.55.23, HierarchicalDDC=, DataSize=262403, Duration=0.182509, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionId0AF557964B06F8D142FFD1BF57E35D64_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_DF45889644371608E2E167A00D0E9612___B9B78E453C5A2D47BC10970C4EE4FB7BA7A1EFE0, StartTime=2016.05.15-16.55.23, HierarchicalDDC=, DataSize=65795, Duration=0.080716, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF8A3549A44B1C71ABC889B8229B7E756_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_DF45889644371608E2E167A00D0E9612___EF451734771F1E7FD2C45DBFD0445135812CF3B5, StartTime=2016.05.15-16.55.23, HierarchicalDDC=, DataSize=16643, Duration=0.031319, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF8A3549A44B1C71ABC889B8229B7E756_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_DF45889644371608E2E167A00D0E9612___DF2A58CA17E68A9DB2FAE8BE60FCFA7DA2120DF0, StartTime=2016.05.15-16.55.23, HierarchicalDDC=, DataSize=6882, Duration=0.061437, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionId8193F6DE46E4E2E7B34A0A9965EEACE1_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_175FFFF34B3800668E3E95AD8254F9FF_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.15-16.55.23, Duration=111.921165, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionIdF8A3549A44B1C71ABC889B8229B7E756_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_175FFFF34B3800668E3E95AD8254F__07A88AF74FC1E73AB09610F8C968130817CECAC3, StartTime=2016.05.15-16.55.23, HierarchicalDDC=, DataSize=524553, Duration=0.131611, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionId0AF557964B06F8D142FFD1BF57E35D64_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_175FFFF34B3800668E3E95AD8254F__36D14B777ED17E3D5FC75B48AED96537AE53896D, StartTime=2016.05.15-16.55.23, HierarchicalDDC=, DataSize=131335, Duration=0.079814, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionId0AF557964B06F8D142FFD1BF57E35D64_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_175FFFF34B3800668E3E95AD8254F__60DD8B40791EDDF0CEA9C6EA24FB368B50CCE7B2, StartTime=2016.05.15-16.55.23, HierarchicalDDC=, DataSize=33031, Duration=0.037044, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
DDCTransactionId0AF557964B06F8D142FFD1BF57E35D64_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_175FFFF34B3800668E3E95AD8254F__54360FB6FDE14A1E68B0C73A350C5AF456C27A04, StartTime=2016.05.15-16.55.23, HierarchicalDDC=, DataSize=8455, Duration=0.015363, RunGuid=RunID98B41DE54EC4EC975FEA53B4D275199B
